,term,cumulative_delta,p_cumdelta,lag_1,p_lagone,lag_2,p_lagtwo,cumulative,p_delta
141,rules.of.origin_Outward.Processing_cumulative,-0.237761933,0.137238788,0.182405818,0.20159192,0.039696585,0.795440612,0.121448121,0.307990972
142,rules.of.origin_Penalties.And.Measures.Against.False.Declaration_cumulative,-0.424387509,0.001892798,-0.438211372,0.015715701,-0.602500398,0.000409679,-0.512309116,5.52E-07
143,rules.of.origin_Principle.Of.Territoriality_cumulative,-0.10326101,0.000343257,-0.024998928,0.00600219,-0.019050022,0.043217027,-0.020861461,0.001673231
144,rules.of.origin_Records_cumulative,-0.079370001,0.035848438,-0.109783072,0.346058753,-0.108190718,0.384646923,-0.099285361,0.13915586
145,rules.of.origin_Refund.Of.Import.Customs.Duties.Or.Deposit_cumulative,-0.138371253,0.175150962,-0.502231812,1.91E-06,-0.371212635,0.002038128,-0.57823643,5.09E-10
146,rules.of.origin_Retention.Of.Origin.Documents_cumulative,0.298217267,0.002534647,-0.016045374,0.943172525,0.163240322,0.38168233,0.06809551,0.52336755
147,rules.of.origin_Sets.Of.Goods_cumulative,0.059635407,0.128556386,-0.007338199,0.855670702,-0.003744502,0.932139871,-0.056503152,0.26114789
148,rules.of.origin_Sub.Committee.On.Rules.Of.Origin_cumulative,0.009718767,0.592568906,-0.050796368,6.25E-05,-0.064722634,5.71E-05,-0.055586528,2.08E-06
149,rules.of.origin_Sufficient.Production_cumulative,-0.005298356,0.800476617,-0.430901894,1.37E-15,-0.330694141,1.27E-05,-0.449007044,2.80E-27
150,rules.of.origin_Treatment.Of.Goods.For.Which.Preference.Is.Claimed_cumulative,0.148276478,0.014214606,-0.108505233,0.003115223,-0.051022111,0.280497073,-0.120348306,1.58E-05
151,rules.of.origin_Treatment.Of.Packing.Materials.And.Containers_cumulative,-0.012601477,0.758862535,0.132112574,0.053123111,0.099175639,0.214677037,0.120308259,0.059242309
152,rules.of.origin_Unassembled.Or.Disassembled.Goods_cumulative,-0.082597986,0.142802291,-1.072720622,0.000414528,-0.482257781,0.160740269,-0.955876385,4.17E-08
153,rules.of.origin_Unit.Of.Qualification_cumulative,-0.072025676,0.006277606,-0.035361966,0.1602126,-0.025880412,0.371995584,-0.08620198,5.23E-05
154,rules.of.origin_Value.Of.Materials_cumulative,-0.127036226,0.012099295,-0.234433137,1.16E-11,-0.13403408,0.030793683,-0.223224675,3.11E-15
155,rules.of.origin_Verification_cumulative,0.037344687,0.036849713,0.00677169,0.817849537,-0.023690288,0.598143736,0.01961264,0.539858325
156,rules.of.origin_Advance.Rulings_delta,18.79955582,0.029215377,,,,,,
157,rules.of.origin_Authorized.Bodies_delta,-53.0287528,0.99984736,,,,,,
158,rules.of.origin_Certificate.Of.Origin_delta,1.683073462,0.084760409,,,,,,
159,rules.of.origin_Change.In.Tariff.Classification_delta,214.9803592,0.045473085,,,,,,
160,rules.of.origin_Claim.For.Preferential.Tariff.Treatment_delta,-1.978602362,0.074439019,,,,,,
161,rules.of.origin_Claims.for.Preferential.Treatment_delta,25.89811893,0.034382736,,,,,,
162,rules.of.origin_Common.Guidelines_delta,13.35963409,0.026664293,,,,,,
163,rules.of.origin_Conditions.For.Invoice.Declaration_delta,-6216.609161,0.032066706,,,,,,
164,rules.of.origin_Confidentiality_delta,-126.1305297,0.032643744,,,,,,
165,rules.of.origin_Consultation.And.Modifications_delta,-3.09332779,0.029732411,,,,,,
166,rules.of.origin_Cumulation_delta,-1.752790995,0.066890349,,,,,,
167,rules.of.origin_Customs.Focal.Point_delta,6263.553341,0.971518177,,,,,,
168,rules.of.origin_De.Minimis_delta,-7.043847517,0.031594002,,,,,,
169,rules.of.origin_Definitions_delta,3.684115973,0.01503269,,,,,,
170,rules.of.origin_Direct.Consignment_delta,-0.31215468,0.074859044,,,,,,
171,rules.of.origin_Minimal.Operations.Or.Processes_delta,-0.185920924,0.361047414,,,,,,
172,rules.of.origin_Penalties.And.Measures.Against.False.Declaration_delta,247.0502038,0.999656353,,,,,,
173,rules.of.origin_Principle.Of.Territoriality_delta,112.9818954,0.99885024,,,,,,
174,sanitary.and.phytosanitary.measures_Cooperation_cumulative,-0.020823569,0.005788074,-0.050581781,1.54E-09,-0.048652084,1.07E-08,-0.022045908,2.81E-05
175,sanitary.and.phytosanitary.measures_Dispute.Settlement_cumulative,-0.04160223,1.01E-06,-0.031341994,7.65E-10,-0.03516553,1.55E-10,-0.024654038,1.00E-06
176,sanitary.and.phytosanitary.measures_Emergency.Measures_cumulative,0.008425391,0.00872023,0.013031992,4.95E-07,0.011988195,2.17E-05,0.005902298,0.00153566
177,sanitary.and.phytosanitary.measures_Equivalence_cumulative,-0.078249502,6.07E-11,-0.074054825,3.75E-08,-0.081071761,1.07E-08,-0.077370334,1.02E-10
178,sanitary.and.phytosanitary.measures_Export.Subsidies_cumulative,0.158725243,0.001675432,0.069477298,0.027837263,0.019107659,0.59138436,0.05299636,0.061394695
179,sanitary.and.phytosanitary.measures_Gradual.Approximation_cumulative,-0.125901872,0.00015126,-0.071453368,0.000598489,-0.080432521,0.000116582,-0.034211564,0.036579702
180,sanitary.and.phytosanitary.measures_Import.Checks_cumulative,-0.021218327,6.74E-06,-0.035184867,4.76E-15,-0.034585156,3.84E-13,-0.023845738,2.22E-11
